,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
0,Lineups,202331 - 201579 - 201588 - 202362 - 2561,"George,Paul - Hibbert,Roy - Hill,George - Stephenson,Lance - West,David",1610612754,IND,73,48,25,0.658,1468.0,104.5,94.9,9.6,0.587,1.5,17.5,0.235,0.758,0.517,0.155,0.512,0.554,93.82,0.58,1,1,12280,4510,1,5058,4849,4411,4640,2402,4297,4641,5322,4400,7316,4322,4909,7338,4389,2013-14
1,Lineups,200746 - 201587 - 203081 - 201577 - 202083,"Aldridge,LaMarcus - Batum,Nicolas - Lillard,Damian - Lopez,Robin - Matthews,Wesley",1610612757,POR,69,46,23,0.667,1373.0,111.5,103.0,8.5,0.61,1.87,18.0,0.277,0.773,0.529,0.133,0.51,0.56,96.59,0.552,2,2,12278,4051,2,4277,6267,4480,4281,2015,4093,3849,5194,4230,6542,4337,4775,6207,4738,2013-14
2,Lineups,201147 - 201567 - 2755 - 201593 - 201937,"Brewer,Corey - Love,Kevin - Martin,Kevin - Pekovic,Nikola - Rubio,Ricky",1610612750,MIN,51,26,25,0.51,1052.0,112.4,103.2,9.2,0.65,2.01,19.4,0.277,0.798,0.531,0.134,0.523,0.572,102.2,0.558,8,16,12280,4887,3,4218,6351,4435,3971,1246,3549,3850,4972,4175,6578,4210,4440,4307,4652,2013-14
3,Lineups,101181 - 2223 - 101145 - 1890 - 1717,"Calderon,Jose - Dalembert,Samuel - Ellis,Monta - Marion,Shawn - Nowitzki,Dirk",1610612742,DAL,69,42,27,0.609,845.0,108.3,106.7,1.6,0.617,1.62,19.1,0.249,0.722,0.488,0.161,0.54,0.573,95.17,0.509,2,3,12286,4593,4,4604,6849,5073,4219,2327,3663,4561,6092,6248,7517,4011,4433,6777,5275,2013-14
4,Lineups,101106 - 201939 - 2738 - 101135 - 202691,"Bogut,Andrew - Curry,Stephen - Iguodala,Andre - Lee,David - Thompson,Klay",1610612744,GSW,44,30,14,0.682,819.0,112.4,97.0,15.4,0.629,1.88,20.1,0.275,0.764,0.526,0.15,0.558,0.579,98.84,0.575,14,8,12233,4046,5,4219,5023,3975,4081,2005,3093,3863,5282,4278,7174,3737,4335,5358,4446,2013-14
5,Lineups,201942 - 101161 - 200768 - 203082 - 202685,"DeRozan,DeMar - Johnson,Amir - Lowry,Kyle - Ross,Terrence - Valanciunas,Jonas",1610612761,TOR,56,31,25,0.554,717.0,106.7,103.4,3.3,0.64,1.68,18.8,0.25,0.729,0.5,0.153,0.523,0.562,94.0,0.524,5,7,12280,4834,6,4748,6366,4926,4003,2189,3747,4022,6000,4514,7259,4217,4758,7259,5107,2013-14
6,Lineups,2772 - 203078 - 202344 - 101162 - 202322,"Ariza,Trevor - Beal,Bradley - Booker,Trevor - Gortat,Marcin - Wall,John",1610612764,WAS,50,28,22,0.56,691.0,104.1,102.2,1.9,0.593,1.86,18.3,0.261,0.726,0.49,0.135,0.509,0.528,94.89,0.498,9,11,12273,4808,7,5137,6166,5054,4602,2017,3974,3982,6059,6233,6633,4342,5489,6890,5631,2013-14
7,Lineups,2430 - 202710 - 2399 - 2550 - 201149,"Boozer,Carlos - Butler,Jimmy - Dunleavy,Mike - Hinrich,Kirk - Noah,Joakim",1610612741,CHI,42,30,12,0.714,681.0,97.9,93.7,4.1,0.714,1.92,19.8,0.248,0.797,0.51,0.143,0.464,0.503,92.37,0.542,17,8,12203,3954,8,6467,4756,4858,2980,1986,3444,4563,4974,4472,6897,6124,6203,7924,4867,2013-14
8,Lineups,201976 - 201935 - 2730 - 203093 - 202718,"Beverley,Patrick - Harden,James - Howard,Dwight - Jones,Terrence - Parsons,Chandler",1610612745,HOU,35,24,11,0.686,620.0,110.3,103.5,6.8,0.541,1.46,16.8,0.276,0.759,0.534,0.154,0.547,0.576,96.21,0.532,36,21,12187,4043,9,4415,6371,4613,5073,2703,4650,3852,5314,4101,7290,3903,4390,6351,5020,2013-14
9,Lineups,202341 - 203487 - 201150 - 202323 - 201152,"Anderson,James - Carter-Williams,Michael - Hawes,Spencer - Turner,Evan - Young,Thaddeus",1610612755,PHI,37,12,25,0.324,612.0,96.2,108.2,-12.0,0.636,1.38,17.7,0.22,0.726,0.475,0.171,0.486,0.519,101.49,0.435,28,136,12280,6991,10,6605,6984,7149,4008,2798,4204,4824,6058,6417,7989,5870,5685,4493,6410,2013-14
